Biosensor 2 Term,Biosensor Term,Micro Term,Molecular Motor Term,Nano Term,Quantum Term,Quasi Term,Self Term,exclusion,id,measure_exclusion,selection
False,False,True,False,False,False,False,False,False,9214468,False,True
False,False,True,False,False,False,False,False,False,9214474,False,True
False,False,True,False,False,False,False,False,False,9214508,False,True
False,False,True,False,False,False,False,False,False,9214523,False,True
False,False,True,False,False,False,False,False,False,9214524,False,True
False,False,True,False,False,False,False,False,False,9214526,False,True
False,False,True,False,False,False,False,False,False,9214532,False,True
False,False,True,False,False,False,False,False,False,9214533,False,True
False,False,True,False,False,False,False,False,False,9214546,False,True
False,False,False,True,False,False,False,False,False,9214559,False,True
False,False,True,False,False,False,False,False,False,9214562,False,True
False,False,True,False,False,False,False,False,False,9214563,False,True
False,False,True,False,False,False,False,False,False,9214564,False,True
False,False,True,False,False,False,False,False,False,9214566,False,True
False,False,True,False,False,False,False,False,False,9214570,False,True
False,False,False,False,True,False,False,False,False,9214571,False,True
False,False,False,True,False,False,False,False,False,9214574,False,True
False,True,True,False,False,False,False,False,False,9214588,False,True
False,False,False,True,False,False,False,False,False,9214596,False,True
False,False,True,False,False,False,False,False,False,9214597,False,True
False,False,True,False,False,False,False,False,False,9214618,False,True
False,False,False,False,True,False,False,False,False,9214622,False,True
False,False,True,False,False,False,False,False,False,9214629,False,True
False,False,False,True,False,False,False,False,False,9214664,False,True
False,False,False,False,True,False,False,False,False,9214680,False,True
False,False,False,False,True,False,False,False,False,9214780,False,True
False,False,True,False,False,False,False,False,False,9214788,False,True
False,False,True,False,False,True,False,False,False,9214789,False,True
False,False,False,False,True,False,False,False,False,9215759,False,True
False,False,True,False,False,False,False,False,False,9215779,False,True
False,False,False,True,False,False,False,False,False,9215797,False,True
False,True,False,False,False,False,False,False,False,9215803,False,True
False,False,False,True,False,False,False,False,False,9215835,False,True
False,False,False,False,True,False,False,False,False,9215877,False,True
False,False,False,False,True,False,False,False,False,9216220,False,True
False,False,False,False,True,False,False,False,False,9216225,False,True
False,False,False,True,False,False,False,False,False,9216305,False,True
False,False,False,True,False,False,False,False,False,9216370,False,True
False,False,False,False,True,False,False,False,False,9216389,False,True
False,False,False,False,True,False,False,False,False,9216391,False,True
False,False,False,False,True,False,False,False,False,9216398,False,True
False,False,True,False,True,False,False,False,False,9216434,False,True
False,False,False,True,False,False,False,False,False,9216435,False,True
False,False,False,False,True,False,False,False,False,9216455,False,True
False,False,False,True,False,False,False,False,False,9216493,False,True
False,False,True,False,False,False,False,False,False,9216546,False,True
False,False,False,True,False,False,False,False,False,9216559,False,True
False,False,False,True,True,False,False,False,False,9216908,False,True
False,False,False,False,True,False,False,False,False,9216910,False,True
False,False,False,False,True,False,False,False,False,9216915,False,True
False,False,False,False,True,False,False,False,False,9216949,False,True
False,True,True,False,False,False,False,False,False,9217053,False,True
False,False,False,False,True,False,False,False,False,9217068,False,True
False,False,False,False,True,False,False,False,False,9217073,False,True
False,True,True,False,False,False,False,False,False,9217096,False,True
False,False,False,False,True,False,False,False,False,9217130,False,True
False,False,True,False,True,False,False,False,False,9217200,False,True
False,True,False,False,False,False,False,False,False,9217207,False,True
False,False,False,False,True,False,False,False,False,9217210,False,True
False,False,False,False,True,False,False,False,False,9217211,False,True
False,False,True,False,False,False,False,False,False,9217635,False,True
False,False,True,False,True,False,False,False,False,9217681,False,True
False,False,False,False,True,False,False,False,False,9217727,False,True
False,False,False,False,True,False,False,False,False,9217732,False,True
False,False,True,False,False,False,False,False,False,9217758,False,True
False,False,True,False,False,False,False,False,False,9217852,False,True
False,False,False,False,True,False,False,False,False,9217884,False,True
False,False,False,False,True,False,False,False,False,9217899,False,True
False,False,True,False,False,False,False,False,False,9218756,False,True
False,False,True,False,False,False,False,False,False,9218870,False,True
False,False,True,False,False,False,False,False,False,9218887,False,True
False,False,True,False,False,False,False,False,False,9218888,False,True
False,False,False,True,False,False,False,False,False,9218916,False,True
False,False,False,False,True,False,False,False,False,9218917,False,True
False,False,True,False,False,False,False,False,False,9218939,False,True
False,False,True,False,False,False,False,False,False,9218955,False,True
False,False,True,False,False,False,False,False,False,9218957,False,True
False,False,True,False,False,False,False,False,False,9218959,False,True
False,False,True,False,False,False,False,False,False,9218966,False,True
False,False,True,False,False,False,False,False,False,9218970,False,True
False,False,True,False,False,False,False,False,False,9218972,False,True
False,False,True,False,False,False,False,False,False,9218976,False,True
False,False,True,False,False,False,False,False,False,9218977,False,True
False,False,True,False,False,False,False,False,False,9218993,False,True
False,False,False,True,False,False,False,False,False,9219008,False,True
False,False,True,False,False,False,False,False,False,9219050,False,True
False,False,False,False,True,False,False,False,False,9219064,False,True
False,False,True,False,False,False,False,False,False,9219066,False,True
False,False,True,False,False,False,False,False,False,9219071,False,True
False,False,True,False,False,False,False,False,False,9219072,False,True
False,False,True,False,False,False,False,False,False,9219076,False,True
False,False,True,False,False,False,False,False,False,9219084,False,True
False,False,True,False,False,False,False,False,False,9219085,False,True
False,False,True,False,False,False,False,False,False,9219088,False,True
False,False,True,False,False,False,False,False,False,9219090,False,True
False,False,True,False,False,False,False,False,False,9219098,False,True
False,False,True,False,False,False,False,False,False,9219100,False,True
False,False,True,False,False,False,False,False,False,9219111,False,True
False,False,False,False,True,False,False,False,False,9219119,False,True
False,False,True,False,False,False,False,False,False,9219120,False,True
False,False,True,False,False,False,False,False,False,9219121,False,True
False,False,True,False,False,False,False,False,False,9219127,False,True
False,True,True,False,False,False,False,False,False,9219130,False,True
False,False,True,False,False,False,False,False,False,9219134,False,True
False,False,False,False,False,True,False,False,False,9219135,False,True
False,False,True,False,False,False,False,False,False,9219145,False,True
False,True,True,False,False,False,False,False,False,9219150,False,True
False,False,False,False,True,False,False,False,False,9219154,False,True
False,False,True,False,False,False,False,False,False,9219156,False,True
False,False,True,False,False,False,False,False,False,9219158,False,True
False,False,True,False,False,False,False,False,False,9219159,False,True
False,False,True,False,False,False,False,False,False,9219160,False,True
False,False,True,False,False,False,False,False,False,9219163,False,True
False,False,True,False,False,False,False,False,False,9219164,False,True
False,False,True,False,False,False,False,False,False,9219165,False,True
False,False,True,True,False,False,False,False,False,9219166,False,True
False,False,True,False,False,False,False,False,False,9219168,False,True
False,False,True,False,False,False,False,False,False,9219174,False,True
False,False,True,False,False,False,False,False,False,9219175,False,True
False,False,False,False,True,False,False,False,False,9219180,False,True
False,False,True,False,False,True,False,False,False,9219191,False,True
False,False,False,False,True,False,False,False,False,9219193,False,True
False,False,True,False,False,False,False,False,False,9219228,False,True
False,False,True,False,False,False,False,False,False,9219238,False,True
False,True,False,False,False,False,False,False,False,9219249,False,True
False,False,False,False,True,False,False,False,False,9219254,False,True
False,False,False,True,False,False,False,False,False,9219280,False,True
False,False,True,False,False,False,False,False,False,9219349,False,True
False,False,False,True,False,False,False,False,False,9219402,False,True
False,False,True,False,False,False,False,False,False,9219971,False,True
False,True,False,False,False,False,False,False,False,9220180,False,True
False,False,True,False,False,False,False,False,False,9220455,False,True
False,False,False,True,True,False,False,False,False,9220689,False,True
False,False,False,False,True,False,False,False,False,9220709,False,True
False,False,False,False,True,False,False,False,False,9220773,False,True
False,False,False,False,True,False,False,False,False,9220788,False,True
False,False,False,False,True,False,False,False,False,9220804,False,True
False,False,False,False,True,False,False,False,False,9220829,False,True
False,False,False,False,True,False,False,False,False,9220951,False,True
False,False,False,False,True,False,False,False,False,9220998,False,True
False,False,False,False,True,False,False,False,False,9221032,False,True
False,False,False,False,True,False,False,False,False,9221044,False,True
False,False,True,False,False,False,False,False,False,9221056,False,True
