,patent_id
2370,9331036
2371,9331044
2373,9331063
2374,9331071
2376,9331077
2377,9331093
2378,9331100
2379,9331108
2380,9331112
2381,9331126
2383,9331151
2384,9331152
2385,9331156
2386,9331163
2387,9331165
2388,9331167
2389,9331180
2390,9331186
2391,9331190
2394,9331206
2395,9331207
2396,9331207
2397,9331208
2398,9331212
2399,9331216
2401,9331251
2402,9331271
2403,9331273
2405,9331298
2406,9331300
2407,9331323
2408,9331341
2412,9331603
2413,9331607
2414,9331695
2416,9332632
2417,9332649
2418,9333063
2420,9333163
2421,9333179
2423,9333181
2426,9333465
2427,9334162
2428,9334168
2431,9334337
2432,9334350
2436,9334469
2437,9334474
2438,9334474
2439,9334530
2440,9335023
2445,9335689
2446,9336882
2447,9336895
2448,9336905
2450,9336919
2451,9336947
2454,9336993
2455,9337016
2457,9337026
2459,9337036
2461,9337056
2463,9337060
2464,9337068
2465,9337077
2466,9337081
2467,9337083
2468,9337093
2470,9337121
2471,9337142
2472,9337147
2474,9337180
2475,9337187
2476,9337197
2477,9337203
2478,9337208
2479,9337212
2480,9337220
2481,9337226
2482,9337230
2484,9337234
2486,9337239
2487,9337243
2488,9337251
2490,9337264
2492,9337273
2493,9337274
2494,9337275
2495,9337276
2497,9337280
2498,9337282
2499,9337283
2500,9337288
2501,9337300
2502,9337305
2503,9337308
2504,9337312
2505,9337319
2506,9337321
2507,9337325
2508,9337326
2509,9337327
2510,9337331
2511,9337334
2513,9337342
2514,9337343
2515,9337345
2516,9337346
2517,9337347
2518,9337355
2519,9337361
2520,9337364
2522,9337389
2523,9337420
2524,9337435
2526,9337490
2527,9337617
2528,9338350
2529,9338377
2530,9338890
2531,9338927
2532,9339398
2533,9339476
2534,9339485
2537,9339770
2540,9339807
2541,9339807
2542,9339952
2544,9340001
2545,9340410
2546,9340411
2550,9340430
2551,9340442
2553,9340616
2554,9340637
2555,9340692
2558,9340738
2559,9340831
2560,9340831
2561,9340834
2564,9340900
2566,9340904
2568,9341166
2569,9341166
2570,9341185
2572,9341589
2575,9341763
2576,9341773
2578,9341943
2579,9341995
2580,9342269
2581,9343089
2583,9343115
2585,9343152
2586,9343161
2587,9343186
2590,9343203
2591,9343292
2593,9343296
2594,9343301
2596,9343304
2597,9343308
2598,9343314
2599,9343315
2601,9343319
2603,9343331
2604,9343336
2605,9343356
2606,9343365
2608,9343373
2609,9343376
2610,9343395
2611,9343401
2612,9343402
2613,9343405
2615,9343467
2616,9343470
2617,9343473
2619,9343487
2620,9343490
2622,9343495
2623,9343498
2624,9343501
2625,9343503
2626,9343508
2627,9343517
2628,9343527
2631,9343533
2632,9343534
2634,9343541
2636,9343548
2639,9343565
2640,9343570
2641,9343577
2642,9343579
2643,9343580
2644,9343581
2645,9343583
2646,9343584
2647,9343585
2648,9343586
2649,9343606
2650,9343617
2651,9343620
2652,9343625
2653,9343650
2656,9343746
2660,9345137
2667,9346214
2668,9346238
2669,9346577
2670,9346676
2673,9346686
2674,9346897
2676,9346986
2677,9346998
2678,9347086
2679,9347119
2680,9347123
2684,9347312
2687,9347834
2690,9347911
2691,9347923
2692,9347929
2693,9347939
2695,9348075
2697,9348189
2698,9348217
